epoch,train_loss,valid_loss,pascal_voc_metric_by_distance,BBloss,focal_loss,AP-0,AP-1,AP-2,AP-3,AP-4,time
0,0.637711,0.463291,0.483329,0.098351,0.364940,0.644918,0.418613,0.579207,0.123568,0.650337,04:13
1,0.367690,0.320289,0.568560,0.072446,0.247843,0.631517,0.729554,0.506511,0.221937,0.753279,04:09
2,0.280369,0.298167,0.530476,0.064091,0.234076,0.641174,0.737959,0.559872,0.296596,0.416779,04:08
epoch,train_loss,valid_loss,pascal_voc_metric_by_distance,BBloss,focal_loss,AP-0,AP-1,AP-2,AP-3,AP-4,time
0,0.287210,0.297208,0.619014,0.065142,0.232067,0.670794,0.698351,0.615826,0.438662,0.671439,04:11
1,0.353822,0.389313,0.487124,0.078226,0.311086,0.616978,0.462054,0.422303,0.524357,0.409930,04:09
2,0.364286,0.379203,0.353761,0.070798,0.308406,0.072725,0.444028,0.564251,0.441140,0.246663,04:18
3,0.337735,0.310003,0.607926,0.067874,0.242129,0.630900,0.500029,0.650255,0.444913,0.813533,04:12
4,0.305934,0.443934,0.436381,0.122068,0.321866,0.639614,0.595802,0.652310,0.179618,0.114562,04:11
5,0.274619,0.263116,0.629325,0.060626,0.202490,0.696695,0.671017,0.620563,0.533904,0.624448,04:14
6,0.255257,0.310753,0.486683,0.063705,0.247048,0.734875,0.618509,0.348854,0.233319,0.497858,04:14
7,0.225705,0.252941,0.579411,0.054053,0.198888,0.727893,0.752310,0.559530,0.342120,0.515201,04:12
8,0.209265,0.236364,0.635435,0.052608,0.183756,0.719365,0.750520,0.655143,0.426666,0.625483,04:15
9,0.201828,0.243238,0.626802,0.052204,0.191034,0.737570,0.756041,0.574890,0.406744,0.658763,04:13
epoch,train_loss,valid_loss,pascal_voc_metric_by_distance,BBloss,focal_loss,AP-0,AP-1,AP-2,AP-3,AP-4,time
0,0.209088,0.255303,0.630752,0.053938,0.201365,0.738668,0.695882,0.574385,0.370953,0.773875,04:14
1,0.262516,0.309413,0.545314,0.069214,0.240199,0.631293,0.670719,0.635283,0.249238,0.540040,04:09
2,0.294704,0.424360,0.358600,0.073422,0.350939,0.458151,0.415898,0.539847,0.048798,0.330308,04:12
3,0.274924,0.315880,0.562826,0.072195,0.243684,0.642327,0.756084,0.415850,0.222752,0.777120,04:16
4,0.287778,0.322456,0.603596,0.075653,0.246803,0.696143,0.736483,0.609713,0.288363,0.687276,04:14
5,0.247293,0.281125,0.536667,0.061861,0.219264,0.711676,0.743198,0.478901,0.304209,0.445350,04:13
6,0.224369,0.235923,0.598756,0.048714,0.187209,0.718373,0.731903,0.602466,0.376842,0.564198,04:14
7,0.207483,0.249714,0.581659,0.052745,0.196969,0.738149,0.733161,0.576191,0.281345,0.579452,04:14
8,0.191977,0.238437,0.591793,0.048309,0.190127,0.747761,0.754224,0.600524,0.287918,0.568534,04:11
9,0.190538,0.234014,0.604269,0.046824,0.187190,0.745861,0.744191,0.587850,0.324589,0.618855,04:15
